,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
296,Beyond Meat,65.0,8%,11/6/2023,BYND,0.03,0.44,-0.5,-7.27
297,LiveRamp,65.0,5%,3/7/2025,RAMP,-0.2,-0.75,0.37,1.38
298,CS Disco,62.0,9%,1/20/2023,LAW,0.39,5.58,0.97,13.88
299,Lyft,60.0,2%,7/20/2022,LYFT,-1.39,-9.46,-3.28,-22.31
300,Western Digital,60.0,7%,6/2/2023,WDC,-0.17,-0.55,26.41,87.1
301,Innoviz,60.0,13%,2/1/2024,INVZ,-0.1,-5.88,-0.15,-8.82
302,Fiverr,60.0,8%,7/26/2022,FVRR,-0.48,-1.46,-3.56,-10.84
303,TechTarget,60.0,5%,12/10/2022,TTGT,0.34,0.8,-10.95,-25.75
304,Canoo,58.0,6%,7/1/2022,GOEV,119.6,13.83,-644.28,-74.5
305,Leafly,56.0,21%,10/19/2022,LFLY,210.0,2.9,-3344.0,-46.19
306,Definitive Healthcare,55.0,6%,1/12/2023,DH,0.56,4.67,-2.57,-21.45
307,DHI Group,53.0,10%,6/6/2023,DHX,0.0,0.0,-1.87,-47.46
308,TaskUs,52.0,0%,6/21/2022,TASK,3.0,19.65,-3.95,-25.87
309,Freightos,50.0,13%,7/12/2023,CRGO,-0.03,-0.83,-1.65,-45.71
310,Inspirato,50.0,6%,7/20/2023,ISPO,0.2,1.08,-15.28,-82.15
311,Impinj,50.0,10%,3/14/2024,PI,-4.32,-3.47,-34.25,-27.49
312,AEye,46.0,33%,3/29/2023,AEYE,0.23,3.28,3.0,42.8
313,Viant,46.0,13%,12/21/2022,DSP,0.21,5.75,3.59,98.36
314,Lemonade,45.0,3%,5/16/2023,LMND,2.9,19.53,3.51,23.64
315,SoundHound,45.0,10%,11/10/2022,SOUN,-0.07,-3.7,-0.1,-5.29
316,Riskified,40.0,6%,2/14/2024,RSKD,-0.16,-3.42,1.22,26.07
317,Leafly,40.0,21%,3/16/2023,LFLY,-620.0,-12.16,-4000.0,-78.43
318,Beyond Meat,40.0,4%,8/4/2022,BYND,5.66,18.03,-15.65,-49.86
319,Wejo,40.0,16%,3/24/2023,WEJWF,0.0,0.0,0.0,0.0
320,Rent the Runway,37.0,10%,1/9/2024,RENT,0.56,4.23,-4.58,-34.59
321,Perion,35.0,5%,6/26/2024,PERI,0.06,0.72,1.89,22.58
322,Satellogic,34.0,13%,6/18/2024,SATL,-0.06,-5.56,2.44,225.93
323,REE Automotive,31.0,11%,2/10/2023,REE,-0.45,-2.97,-8.7,-57.43
324,Lyft,30.0,1%,9/4/2024,LYFT,-0.54,-4.76,5.45,48.06
325,Latch,30.0,6%,5/11/2022,LTCH,0.15,6.33,-1.63,-68.61
326,Absci,30.0,15%,9/7/2023,ABSI,-0.01,-0.62,2.4,148.15
327,Legible,23.0,38%,4/15/2022,LEBGF,0.0,0.0,-0.14,-72.5
328,Perion,20.0,5%,8/8/2022,PERI,0.9,4.29,14.41,68.72
329,ContraFect,16.0,37%,8/15/2022,CFRXQ,-0.9,-3.69,-23.54,-96.05
330,PubMatic,12.0,1%,10/7/2024,PUBM,0.64,4.42,-6.21,-42.89
331,Peloton,,6%,8/9/2025,PTON,0.65,8.29,-0.47,-5.99
332,Rocket Companies,,2%,7/22/2025,RKT,-0.96,-6.0,0.46,2.87
333,nCino,,7%,5/28/2025,NCNO,-0.59,-2.2,-2.07,-7.73
